transaction_id,customer_id,product_id,name,date,sales_agent,category,price,quantity,total_amount
TXN000001,CUST002859,PROD0039,Joshua Gonzales,2024-11-28,Alex Santos,Electronics,1147.5,4,4590.0
TXN000002,CUST001096,PROD0002,Thomas Jones,2024-07-28,Hannah Dizon,Electronics,60750.0,1,60750.0
TXN000003,CUST004509,PROD0076,Aileen Manalo,2024-10-12,Hannah Dizon,Clothing,877.5,3,2632.5
TXN000004,CUST000569,PROD0112,Liza Dizon,2026-04-22,Charlie Reyes,Food,162.0,4,648.0
TXN000005,CUST003522,PROD0196,Althea Ramos,2024-12-24,Gabriel Ramos,Home,243.0,3,729.0
TXN000006,CUST000543,PROD0041,Samantha Garcia,2026-02-22,Fiona Lopez,Clothing,2249.1,3,6747.3
TXN000007,CUST002720,PROD0024,Princess Reyes,2026-04-24,Alex Santos,Electronics,2025.0,1,2025.0
TXN000008,CUST002978,PROD0021,Patricia Lopez,2024-06-26,Beatriz Cruz,Electronics,1350.0,5,6750.0
TXN000009,CUST002487,PROD0177,Arnel Villanueva,2025-11-25,Ethan Torres,Home,1305.0,2,2610.0
TXN000010,CUST001056,PROD0110,Robert Wilson,2024-11-17,Diana Mendoza,Food,162.0,1,162.0
TXN000011,CUST000106,PROD0054,Aldrin Mercado,2025-07-26,Alex Santos,Clothing,1078.65,4,4314.6
TXN000012,CUST001103,PROD0034,Mark Thompson,2025-01-25,Fiona Lopez,Electronics,2430.0,1,2430.0
TXN000013,CUST001258,PROD0191,Christopher Gonzalez,2026-03-24,Diana Mendoza,Home,275.0,1,275.0
TXN000014,CUST001560,PROD0172,Madison Garcia,2025-02-26,Charlie Reyes,Home,1620.0,3,4860.0
TXN000015,CUST001618,PROD0117,Maria Mercado,2025-04-27,Diana Mendoza,Food,252.0,5,1260.0
TXN000016,CUST000940,PROD0112,Mary Dela Cruz,2025-12-31,Charlie Reyes,Food,162.0,5,810.0
TXN000017,CUST000247,PROD0156,Andrew Hernandez,2024-09-15,Gabriel Ramos,Beauty,1201.5,4,4806.0
TXN000018,CUST001812,PROD0032,Eduardo Pascual,2025-07-30,Gabriel Ramos,Electronics,43200.0,5,216000.0
TXN000019,CUST003159,PROD0143,Matthew Anderson,2025-09-18,Ethan Torres,Beauty,605.0,1,605.0
TXN000020,CUST002038,PROD0053,Arnel Garcia,2024-05-25,Ethan Torres,Clothing,719.1,3,2157.3
TXN000021,CUST002282,PROD0065,Taylor Harris,2024-07-28,Alex Santos,Clothing,1260.0,4,5040.0
TXN000022,CUST000816,PROD0112,Arnel Santos,2025-06-28,Ethan Torres,Food,162.0,5,810.0
TXN000023,CUST003804,PROD0002,Aldrin Dizon,2024-06-24,Ethan Torres,Electronics,60750.0,3,182250.0
TXN000024,CUST002714,PROD0142,Eduardo Gonzales,2024-06-21,Beatriz Cruz,Beauty,742.5,3,2227.5
TXN000025,CUST000779,PROD0126,John Bautista,2025-07-14,Ethan Torres,Beauty,607.5,2,1215.0
TXN000026,CUST004753,PROD0106,Francis Santiago,2026-05-03,Charlie Reyes,Food,540.0,5,2700.0
TXN000027,CUST000030,PROD0151,Eduardo Santos,2024-10-03,Ethan Torres,Beauty,715.0,1,715.0
TXN000028,CUST000975,PROD0092,Thomas Johnson,2024-05-30,Fiona Lopez,Food,243.0,1,243.0
TXN000029,CUST004996,PROD0105,Alexis Brown,2026-02-13,Gabriel Ramos,Food,360.0,1,360.0
TXN000030,CUST001599,PROD0032,Michael Espiritu,2025-04-26,Charlie Reyes,Electronics,43200.0,3,129600.0
TXN000031,CUST003052,PROD0041,Grace Ocampo,2026-05-08,Diana Mendoza,Clothing,2249.1,2,4498.2
TXN000032,CUST001091,PROD0170,Jayson Villanueva,2025-12-10,Alex Santos,Home,1620.0,3,4860.0
TXN000033,CUST004123,PROD0141,Mary Mendoza,2024-12-07,Hannah Dizon,Beauty,495.0,4,1980.0
TXN000034,CUST002492,PROD0061,Princess Dizon,2025-05-17,Ethan Torres,Clothing,1439.1,1,1439.1
TXN000035,CUST002508,PROD0128,Danilo Aquino,2025-07-12,Charlie Reyes,Beauty,607.5,3,1822.5
TXN000036,CUST001626,PROD0153,Daniel Johnson,2025-05-31,Alex Santos,Beauty,801.0,1,801.0
TXN000037,CUST000713,PROD0030,Roldan Valenzuela,2025-04-26,Charlie Reyes,Electronics,43200.0,3,129600.0
TXN000038,CUST002617,PROD0130,Megan Martin,2026-04-26,Gabriel Ramos,Beauty,538.65,2,1077.3
TXN000039,CUST003793,PROD0115,Timothy Clark,2026-05-15,Charlie Reyes,Food,528.0,4,2112.0
TXN000040,CUST000331,PROD0057,John Taylor,2024-08-16,Hannah Dizon,Clothing,899.1,3,2697.3
TXN000041,CUST004355,PROD0151,Madison Anderson,2024-06-12,Diana Mendoza,Beauty,715.0,1,715.0
TXN000042,CUST002087,PROD0092,Jayson Garcia,2025-11-21,Alex Santos,Food,243.0,5,1215.0
TXN000043,CUST003858,PROD0031,Angelo Castro,2025-12-01,Gabriel Ramos,Electronics,43200.0,1,43200.0
TXN000044,CUST002536,PROD0034,Jessica Brown,2024-11-22,Diana Mendoza,Electronics,2430.0,3,7290.0
TXN000045,CUST002691,PROD0178,Danilo Dizon,2025-03-22,Fiona Lopez,Home,1957.5,5,9787.5
TXN000046,CUST001484,PROD0012,Jose Castro,2025-04-22,Fiona Lopez,Electronics,4725.0,5,23625.0
TXN000047,CUST003333,PROD0114,Liza Santiago,2025-04-17,Hannah Dizon,Food,648.0,4,2592.0
TXN000048,CUST004912,PROD0156,Aileen Castro,2024-08-22,Beatriz Cruz,Beauty,1201.5,2,2403.0
TXN000049,CUST003680,PROD0152,Hannah Rodriguez,2025-12-06,Diana Mendoza,Beauty,877.5,1,877.5
TXN000050,CUST002503,PROD0195,Aldrin Lopez,2025-04-28,Hannah Dizon,Home,198.0,4,792.0
TXN000051,CUST001170,PROD0114,Joseph Miller,2025-02-04,Fiona Lopez,Food,648.0,1,648.0
TXN000052,CUST000719,PROD0100,Grace Espiritu,2024-05-24,Fiona Lopez,Food,810.0,5,4050.0
TXN000053,CUST004674,PROD0119,Danilo Mercado,2024-07-02,Beatriz Cruz,Food,308.0,3,924.0
TXN000054,CUST001376,PROD0047,Aileen Mercado,2024-09-20,Diana Mendoza,Clothing,548.9,2,1097.8
TXN000055,CUST003105,PROD0182,Jayson Dela Cruz,2025-11-09,Gabriel Ramos,Home,877.5,1,877.5
TXN000056,CUST000064,PROD0132,Grace Lopez,2024-12-10,Ethan Torres,Beauty,538.65,4,2154.6
TXN000057,CUST003545,PROD0175,Danilo Gonzales,2024-08-04,Charlie Reyes,Home,1045.0,5,5225.0
TXN000058,CUST004734,PROD0133,Mary Santiago,2026-01-14,Diana Mendoza,Beauty,531.0,1,531.0
TXN000059,CUST004062,PROD0072,Anthony Garcia,2025-06-27,Beatriz Cruz,Clothing,403.65,1,403.65
TXN000060,CUST002019,PROD0188,Alexis Johnson,2025-12-30,Hannah Dizon,Home,1485.0,5,7425.0
TXN000061,CUST004870,PROD0033,Danilo Gonzales,2025-09-13,Beatriz Cruz,Electronics,1620.0,3,4860.0
TXN000062,CUST003228,PROD0013,Juan Soriano,2025-01-04,Diana Mendoza,Electronics,13050.0,5,65250.0
TXN000063,CUST003980,PROD0192,Mark Reyes,2025-11-28,Fiona Lopez,Home,337.5,2,675.0
TXN000064,CUST004206,PROD0094,Mary Cruz,2026-03-13,Gabriel Ramos,Food,742.5,5,3712.5
TXN000065,CUST000860,PROD0140,Mary Santos,2025-02-12,Diana Mendoza,Beauty,648.0,5,3240.0
TXN000066,CUST003830,PROD0102,Kevin Williams,2026-05-07,Diana Mendoza,Food,297.0,1,297.0
TXN000067,CUST004657,PROD0003,Jessica Rodriguez,2026-03-15,Alex Santos,Electronics,60750.0,4,243000.0
TXN000068,CUST001944,PROD0128,Manuel Tomas,2026-01-15,Ethan Torres,Beauty,607.5,5,3037.5
TXN000069,CUST004771,PROD0157,Grace Mercado,2026-03-24,Ethan Torres,Beauty,135.0,3,405.0
TXN000070,CUST002562,PROD0119,Kenneth Clark,2026-04-24,Ethan Torres,Food,308.0,3,924.0
TXN000071,CUST002271,PROD0029,Noel Torres,2024-07-07,Hannah Dizon,Electronics,28800.0,4,115200.0
TXN000072,CUST004764,PROD0044,Paul Martinez,2025-08-03,Charlie Reyes,Clothing,3373.65,4,13494.6
TXN000073,CUST002813,PROD0073,Antonio Garcia,2026-03-24,Diana Mendoza,Clothing,585.0,3,1755.0
TXN000074,CUST003703,PROD0091,Maria Castro,2025-12-26,Beatriz Cruz,Food,198.0,4,792.0
TXN000075,CUST000254,PROD0188,Christine Rodriguez,2025-02-13,Diana Mendoza,Home,1485.0,3,4455.0
TXN000076,CUST004750,PROD0167,Michelle Lopez,2025-11-02,Diana Mendoza,Home,6380.0,5,31900.0
TXN000077,CUST004225,PROD0085,Christian De Leon,2026-02-24,Alex Santos,Food,315.0,4,1260.0
TXN000078,CUST004965,PROD0181,Ashley Gonzalez,2025-12-31,Gabriel Ramos,Home,585.0,3,1755.0
TXN000079,CUST004148,PROD0081,Jessica Manalo,2025-08-28,Diana Mendoza,Food,405.0,4,1620.0
TXN000080,CUST002703,PROD0107,Angelo Manalo,2026-04-05,Beatriz Cruz,Food,440.0,4,1760.0
TXN000081,CUST003908,PROD0135,Paul Reyes,2025-04-05,Diana Mendoza,Beauty,649.0,3,1947.0
TXN000082,CUST000320,PROD0126,Michael Aquino,2026-05-04,Diana Mendoza,Beauty,607.5,1,607.5
TXN000083,CUST003628,PROD0167,Aileen Rodriguez,2026-04-10,Beatriz Cruz,Home,6380.0,4,25520.0
TXN000084,CUST003815,PROD0100,Arnel Torres,2024-08-28,Diana Mendoza,Food,810.0,3,2430.0
TXN000085,CUST000210,PROD0165,Grace Bautista,2026-02-24,Alex Santos,Home,5220.0,4,20880.0
TXN000086,CUST004161,PROD0137,Steven Wilson,2025-01-02,Gabriel Ramos,Beauty,432.0,5,2160.0
TXN000087,CUST001284,PROD0039,Joshua Ramos,2024-12-05,Diana Mendoza,Electronics,1147.5,5,5737.5
TXN000088,CUST002635,PROD0073,Michael Mercado,2024-06-06,Diana Mendoza,Clothing,585.0,2,1170.0
TXN000089,CUST003349,PROD0149,Christopher Brown,2026-01-15,Fiona Lopez,Beauty,585.0,2,1170.0
TXN000090,CUST004542,PROD0086,Sarah Wilson,2026-04-22,Alex Santos,Food,472.5,2,945.0
TXN000091,CUST001837,PROD0023,Paul Lewis,2024-10-12,Gabriel Ramos,Electronics,2025.0,3,6075.0
TXN000092,CUST001603,PROD0041,Althea Gonzales,2025-09-05,Diana Mendoza,Clothing,2249.1,3,6747.3
TXN000093,CUST002712,PROD0031,Patricia Castro,2025-03-11,Hannah Dizon,Electronics,43200.0,2,86400.0
TXN000094,CUST002151,PROD0153,Michelle Villanueva,2026-04-30,Alex Santos,Beauty,801.0,2,1602.0
TXN000095,CUST001145,PROD0033,Gilbert Garcia,2025-01-30,Ethan Torres,Electronics,1620.0,4,6480.0
TXN000096,CUST003992,PROD0020,Paul Valenzuela,2025-03-19,Gabriel Ramos,Electronics,7290.0,5,36450.0
TXN000097,CUST002702,PROD0009,Patricia Gonzales,2026-01-13,Diana Mendoza,Electronics,3150.0,3,9450.0
TXN000098,CUST002572,PROD0095,Paul Manalo,2025-05-11,Hannah Dizon,Food,605.0,1,605.0
TXN000099,CUST001219,PROD0010,Michelle Dela Cruz,2024-07-04,Gabriel Ramos,Electronics,4725.0,1,4725.0
TXN000100,CUST003853,PROD0065,Patricia Torres,2024-08-07,Diana Mendoza,Clothing,1260.0,4,5040.0
TXN000101,CUST002533,PROD0068,Francis Espiritu,2025-05-28,Ethan Torres,Clothing,1890.0,4,7560.0
TXN000102,CUST003209,PROD0029,Eduardo Mendoza,2024-11-03,Beatriz Cruz,Electronics,28800.0,5,144000.0
TXN000103,CUST004618,PROD0064,Grace Dela Cruz,2026-04-02,Beatriz Cruz,Clothing,2158.65,2,4317.3
TXN000104,CUST003913,PROD0174,Jose Lopez,2024-06-07,Gabriel Ramos,Home,1282.5,3,3847.5
TXN000105,CUST000244,PROD0113,Elizabeth Martin,2025-07-12,Beatriz Cruz,Food,432.0,2,864.0
TXN000106,CUST001384,PROD0039,Joshua Valenzuela,2025-11-29,Diana Mendoza,Electronics,1147.5,1,1147.5
TXN000107,CUST002988,PROD0099,Antonio Soriano,2025-03-23,Ethan Torres,Food,660.0,4,2640.0
